date,usd_vnd_rate,interest_rate_state,interest_rate_market,interest_rate_spread,dxy_index,fed_rate,World_Price_USD_Ounce,World_Price_VND,Domestic_Premium
2025-05-23,25973.0,4.92,5.32,0.40000000000000036,99.11000061035156,4.5,3363.60009765625,105328942.14086175,14671057.85913825
2025-05-24,25973.0,4.92,5.32,0.40000000000000036,99.11000061035156,4.5,3363.60009765625,105328942.14086175,16171057.85913825
2025-05-25,25973.0,4.92,5.32,0.40000000000000036,99.11000061035156,4.5,3363.60009765625,105328942.14086175,15671057.85913825
2025-05-26,25946.0,4.92,5.32,0.40000000000000036,98.93000030517578,4.5,3363.60009765625,105219448.38050279,14780551.61949721
2025-05-27,25897.0,4.92,5.32,0.40000000000000036,99.5199966430664,4.5,3299.10009765625,103006872.16784857,15793127.832151428
2025-05-28,25903.0,4.92,5.32,0.40000000000000036,99.87999725341797,4.5,3293.60009765625,102858972.79232,15441027.207680002
2025-05-29,25950.0,4.92,5.32,0.40000000000000036,99.27999877929688,4.5,3317.10009765625,103780841.96458375,13419158.035416245
2025-05-30,25996.0,4.92,5.32,0.40000000000000036,99.33000183105469,4.5,3288.89990234375,103080955.30011027,15919044.699889734
2025-05-31,25996.0,4.92,5.32,0.40000000000000036,99.33000183105469,4.5,3288.89990234375,103080955.30011027,15119044.699889734
2025-06-01,25996.0,4.92,5.32,0.40000000000000036,99.33000183105469,4.5,3288.89990234375,103080955.30011027,
2025-06-02,26019.0,4.92,5.32,0.40000000000000036,98.69999694824219,4.5,3370.60009765625,105735075.71736775,12764924.282632247
2025-06-03,26022.0,4.92,5.32,0.40000000000000036,99.25,4.5,3350.199951171875,105107244.55795452,12892755.44204548
2025-06-04,26038.0,4.92,5.32,0.40000000000000036,98.79000091552734,4.5,3373.5,105903323.04045,
2025-06-05,26071.0,4.92,5.32,0.40000000000000036,98.73999786376953,4.5,3350.699951171875,105320880.06851491,12379119.931485087
2025-06-06,26056.0,4.92,5.32,0.40000000000000036,99.19000244140625,4.5,3322.699951171875,104380679.83837296,13619320.16162704
2025-06-07,26056.0,4.92,5.32,0.40000000000000036,99.19000244140625,4.5,3322.699951171875,104380679.83837296,12819320.16162704
2025-06-08,26056.0,4.92,5.32,0.40000000000000036,99.19000244140625,4.5,3322.699951171875,104380679.83837296,
2025-06-09,26047.0,4.92,5.32,0.40000000000000036,98.94000244140625,4.5,3332.10009765625,104639823.83590946,12560176.164090544
2025-06-10,26025.0,4.92,5.32,0.40000000000000036,99.05000305175781,4.5,3320.89990234375,104200013.22296083,13799986.77703917
