datetime,fed_rate,fed_change_pct
2026-02-13 20:05:14.284,3.75,0
2026-02-13 20:33:54.451,3.75,0
2026-02-13 20:55:09.562,3.75,0
2026-02-13 21:19:37.501,3.75,0
2026-02-13 21:56:42.468,3.75,0
2026-02-13 22:25:51.505,3.75,0
2026-02-13 23:06:19.033,3.75,0
2026-02-13 23:43:20.470,3.75,0
2026-02-14 00:08:44.144,3.75,0
2026-02-14 00:32:26.992,3.75,0
2026-02-14 00:58:30.521,3.75,0
2026-02-14 01:42:57.792,3.75,0
2026-02-14 01:51:38.210,3.75,0
2026-02-14 02:27:14.101,3.75,0
2026-02-14 02:51:57.156,3.75,0
2026-02-14 03:36:07.803,3.75,0
2026-02-14 04:06:27.347,3.75,0
2026-02-14 04:32:46.473,3.75,0
2026-02-14 04:50:40.188,3.75,0
2026-02-14 05:45:39.807,3.75,0
2026-02-14 05:56:42.163,3.75,0
2026-02-14 06:21:44.198,3.75,0
2026-02-14 06:52:58.003,3.75,0
2026-02-14 07:25:02.431,3.75,0
2026-02-14 07:48:40.865,3.75,0
2026-02-14 08:17:26.017,3.75,0
2026-02-14 09:04:22.974,3.75,0
2026-02-14 09:32:56.025,3.75,0
2026-02-14 10:08:03.267,3.75,0
2026-02-14 10:21:27.523,3.75,0
2026-02-14 11:09:57.960,3.75,0
2026-02-14 11:30:25.229,3.75,0
2026-02-14 12:02:38.294,3.75,0
2026-02-14 12:17:27.572,3.75,0
2026-02-14 12:48:29.690,3.75,0
2026-02-14 13:33:54.007,3.75,0
2026-02-14 14:02:17.106,3.75,0
2026-02-14 14:39:32.549,3.75,0
2026-02-14 15:01:57.145,3.75,0
2026-02-14 15:42:42.369,3.75,0
2026-02-14 15:48:59.493,3.75,0
2026-02-14 16:40:34.474,3.75,0
2026-02-14 17:11:57.283,3.75,0
2026-02-14 17:33:23.648,3.75,0
2026-02-14 18:00:34.392,3.75,0
2026-02-14 18:18:11.738,3.75,0
2026-02-14 18:46:01.196,3.75,0
2026-02-14 19:23:10.150,3.75,0
2026-02-14 20:09:27.796,3.75,0
2026-02-14 20:17:26.090,3.75,0
2026-02-14 21:07:38.618,3.75,0
2026-02-14 21:43:58.026,3.75,0
2026-02-14 21:48:53.557,3.75,0
2026-02-14 22:19:01.876,3.75,0
2026-02-14 22:47:39.757,3.75,0
2026-02-14 23:24:55.313,3.75,0
2026-02-14 23:57:52.383,3.75,0
2026-02-15 00:23:51.517,3.75,0
2026-02-15 01:04:03.025,3.75,0
2026-02-15 01:32:30.882,3.75,0
2026-02-15 02:15:24.260,3.75,0
