datetime,usd_vnd_rate,usd_change_pct
2026-02-17 19:40:00.869,25917.51,0.0
2026-02-17 20:01:08.692,25917.51,0.0
2026-02-17 20:21:59.482,25917.51,0.0
2026-02-17 20:55:15.744,25917.51,0.0
2026-02-17 21:39:21.199,25917.51,0.0
2026-02-17 21:56:16.280,25917.51,0.0
2026-02-17 22:17:15.534,25917.51,0.0
2026-02-17 23:09:17.832,25917.51,0.0
2026-02-17 23:26:03.219,25917.51,0.0
2026-02-17 23:33:21.371,25917.51,0.0
2026-02-17 23:37:26.043,25917.51,0.0
2026-02-17 23:49:34.677,25917.51,0.0
2026-02-18 00:17:19.737,25917.51,0.0
2026-02-18 00:51:54.152,25917.51,0.0
2026-02-18 01:16:16.748,25917.51,0.0
2026-02-18 01:47:17.904,25917.51,0.0
2026-02-18 02:42:48.893,25917.51,0.0
2026-02-18 03:09:52.094,25917.51,0.0
2026-02-18 03:20:37.740,25917.51,0.0
2026-02-18 03:52:00.575,25917.51,0.0
2026-02-18 04:32:33.800,25917.51,0.0
2026-02-18 05:03:46.904,25917.51,0.0
2026-02-18 05:36:01.888,25917.51,0.0
2026-02-18 06:08:34.741,25917.51,0.0
2026-02-18 06:19:26.544,25917.51,0.0
2026-02-18 06:49:49.884,25917.51,0.0
2026-02-18 07:31:47.517,25917.51,0.0
2026-02-18 07:55:18.089,25917.51,0.0
2026-02-18 08:42:06.483,25898.69,-0.072615
2026-02-18 09:00:33.306,25898.69,0.0
2026-02-18 09:23:05.710,25898.69,0.0
2026-02-18 09:58:07.343,25898.69,0.0
2026-02-18 10:21:58.018,25898.69,0.0
2026-02-18 11:14:05.956,25898.69,0.0
2026-02-18 11:32:31.789,25898.69,0.0
2026-02-18 12:04:54.963,25898.69,0.0
2026-02-18 12:45:30.893,25898.69,0.0
2026-02-18 13:15:18.863,25898.69,0.0
2026-02-18 13:19:31.391,25898.69,0.0
2026-02-18 13:56:58.296,25898.69,0.0
2026-02-18 14:43:40.123,25898.69,0.0
2026-02-18 14:52:54.280,25898.69,0.0
2026-02-18 15:26:02.529,25898.69,0.0
2026-02-18 16:10:54.709,25898.69,0.0
2026-02-18 16:16:28.689,25898.69,0.0
2026-02-18 17:13:39.633,25898.69,0.0
2026-02-18 17:17:20.875,25898.69,0.0
2026-02-18 18:09:54.657,25898.69,0.0
2026-02-18 18:42:35.178,25898.69,0.0
2026-02-18 19:00:19.319,25898.69,0.0
2026-02-18 19:16:56.999,25898.69,0.0
2026-02-18 19:53:29.802,25898.69,0.0
2026-02-18 20:42:52.917,25898.69,0.0
2026-02-18 20:48:53.500,25898.69,0.0
2026-02-18 21:32:02.961,25898.69,0.0
2026-02-18 21:57:57.247,25898.69,0.0
2026-02-18 22:44:22.373,25898.69,0.0
2026-02-18 22:46:44.156,25898.69,0.0
2026-02-18 23:43:53.047,25898.69,0.0
2026-02-18 23:46:03.528,25898.69,0.0
2026-02-19 00:29:52.115,25898.69,0.0
2026-02-19 01:04:04.393,25898.69,0.0
2026-02-19 01:22:25.417,25898.69,0.0
2026-02-19 02:09:35.121,25898.69,0.0
2026-02-19 02:17:53.629,25898.69,0.0
2026-02-19 03:14:44.080,25898.69,0.0
2026-02-19 03:31:43.954,25898.69,0.0
2026-02-19 03:37:21.571,25898.69,0.0
2026-02-19 04:10:53.928,25898.69,0.0
2026-02-19 04:28:08.859,25898.69,0.0
2026-02-19 05:11:21.039,25898.69,0.0
2026-02-19 05:37:03.364,25898.69,0.0
2026-02-19 06:03:59.664,25898.69,0.0
2026-02-19 06:31:40.741,25898.69,0.0
2026-02-19 06:45:55.216,25898.69,0.0
2026-02-19 06:51:04.272,25898.69,0.0
2026-02-19 07:15:34.656,25898.69,0.0
2026-02-19 07:59:23.469,25919.9,0.081896
2026-02-19 08:17:49.183,25919.9,0.0
2026-02-19 09:00:32.474,25919.9,0.0
2026-02-19 09:39:01.550,25919.9,0.0
2026-02-19 10:02:21.917,25919.9,0.0
2026-02-19 10:32:30.940,25919.9,0.0
2026-02-19 10:58:45.489,25919.9,0.0
2026-02-19 11:40:05.494,25919.9,0.0
2026-02-19 12:00:18.545,25919.9,0.0
2026-02-19 12:30:54.787,25919.9,0.0
2026-02-19 13:01:46.183,25919.9,0.0
2026-02-19 13:29:24.268,25919.9,0.0
2026-02-19 13:58:41.915,25919.9,0.0
2026-02-19 14:32:12.730,25919.9,0.0
2026-02-19 14:50:07.769,25919.9,0.0
2026-02-19 15:35:29.429,25919.9,0.0
2026-02-19 15:50:07.494,25919.9,0.0
2026-02-19 16:27:04.815,25919.9,0.0
2026-02-19 16:49:41.061,25919.9,0.0
2026-02-19 17:25:59.046,25919.9,0.0
2026-02-19 17:53:27.957,25919.9,0.0
2026-02-19 19:09:02.808,25919.9,0.0
2026-02-19 19:17:12.325,25919.9,0.0
2026-02-19 20:04:47.765,25919.9,0.0
2026-02-19 20:30:59.926,25919.9,0.0
2026-02-19 20:47:01.577,25919.9,0.0
2026-02-19 21:27:37.025,25919.9,0.0
2026-02-19 22:06:23.044,25919.9,0.0
2026-02-19 22:40:28.224,25919.9,0.0
2026-02-19 22:48:51.073,25919.9,0.0
2026-02-19 23:37:53.166,25919.9,0.0
2026-02-20 00:09:50.440,25919.9,0.0
2026-02-20 00:19:45.224,25919.9,0.0
2026-02-20 01:02:57.983,25919.9,0.0
2026-02-20 01:22:11.704,25919.9,0.0
2026-02-20 01:55:41.361,25919.9,0.0
2026-02-20 02:33:46.831,25919.9,0.0
2026-02-20 02:39:26.416,25919.9,0.0
2026-02-20 03:06:43.282,25919.9,0.0
2026-02-20 03:39:02.757,25919.9,0.0
2026-02-20 04:03:03.003,25919.9,0.0
2026-02-20 04:31:44.601,25919.9,0.0
2026-02-20 04:44:06.239,25919.9,0.0
2026-02-20 05:12:44.336,25919.9,0.0
2026-02-20 05:32:54.058,25919.9,0.0
2026-02-20 05:59:34.112,25919.9,0.0
2026-02-20 06:41:05.481,25919.9,0.0
2026-02-20 07:14:32.019,25919.9,0.0
2026-02-20 07:19:17.546,25919.9,0.0
2026-02-20 07:54:26.231,25919.9,0.0
